SSID,MatchID,PlayerID,PlayerName,Runs,BallFaced,StrikeRate,6s,Against,Venue,MatchDate
SSID0150,M052,TP0107,Jason Holder,13,4,325,2,KKR,Maharashtra Cricket Association Stadium,7-May-22
SSID0151,M042,TP0107,Jason Holder,11,8,137.5,1,PK,Maharashtra Cricket Association Stadium,29-Apr-22
SSID0152,M012,TP0107,Jason Holder,8,3,266.66,1,SRH,DY Patil Stadium,4-Apr-22
SSID0153,M026,TP0130,Jaydev Unadkat,14,6,233.33,1,LSG,Brabourne,16-Apr-22
SSID0154,M033,TP0130,Jaydev Unadkat,19,9,211.11,1,CSK,DY Patil Stadium,21-Apr-22
SSID0155,M023,TP0130,Jaydev Unadkat,12,7,171.42,1,PK,Maharashtra Cricket Association Stadium,13-Apr-22
SSID0156,M011,TP0154,Jitesh Sharma,26,17,152.94,3,CSK,Brabourne,3-Apr-22
SSID0157,M064,TP0154,Jitesh Sharma,44,34,129.41,2,DC,DY Patil Stadium,16-May-22
SSID0158,M023,TP0154,Jitesh Sharma,30,15,200,2,MI,Maharashtra Cricket Association Stadium,13-Apr-22
SSID0159,M016,TP0154,Jitesh Sharma,23,11,209.09,2,GT,Brabourne,8-Apr-22
SSID0160,M052,TP0154,Jitesh Sharma,38,18,211.11,2,RR,Wankhede Stadium,7-May-22
SSID0161,M070,TP0154,Jitesh Sharma,19,7,271.42,1,SRH,Wankhede Stadium,22-May-22
SSID0162,M060,TP0155,Jonny Bairstow,66,29,227.58,7,RCB,Brabourne,13-May-22
SSID0163,M064,TP0155,Jonny Bairstow,28,15,186.66,1,DC,DY Patil Stadium,16-May-22
SSID0164,M052,TP0155,Jonny Bairstow,56,40,140,1,RR,Wankhede Stadium,7-May-22
SSID0165,M034,TP0177,Jos Buttler,116,65,178.46,9,DC,Wankhede Stadium,22-Apr-22
SSID0166,M013,TP0177,Jos Buttler,70,47,148.93,6,RCB,Wankhede Stadium,5-Apr-22
SSID0167,M073,TP0177,Jos Buttler,106,60,176.66,6,RCB,Narendra Modi Stadium,27-May-22
SSID0168,M030,TP0177,Jos Buttler,103,61,168.85,5,KKR,Brabourne,18-Apr-22
SSID0169,M009,TP0177,Jos Buttler,100,68,147.05,5,MI,DY Patil Stadium,2-Apr-22
SSID0170,M043,TP0177,Jos Buttler,67,52,128.84,4,MI,DY Patil Stadium,30-Apr-22
SSID0171,M024,TP0177,Jos Buttler,54,24,225,3,GT,DY Patil Stadium,14-Apr-22
SSID0172,M005,TP0177,Jos Buttler,35,28,125,3,SRH,Maharashtra Cricket Association Stadium,29-Mar-22
SSID0173,M071,TP0177,Jos Buttler,89,56,158.92,2,GT,Eden Gardens,24-May-22
SSID0174,M019,TP0177,Jos Buttler,13,11,118.18,1,LSG,Wankhede Stadium,10-Apr-22
SSID0175,M052,TP0177,Jos Buttler,30,16,187.5,1,PK,Wankhede Stadium,7-May-22
SSID0176,M026,TP0109,KL Rahul,103,60,171.66,5,MI,Brabourne,16-Apr-22
SSID0177,M072,TP0109,KL Rahul,79,58,136.2,5,RCB,Eden Gardens,25-May-22
SSID0178,M045,TP0109,KL Rahul,77,51,150.98,5,DC,Wankhede Stadium,1-May-22
SSID0179,M037,TP0109,KL Rahul,103,62,166.12,4,MI,Wankhede Stadium,24-Apr-22
SSID0180,M066,TP0109,KL Rahul,68,51,133.33,4,KKR,DY Patil Stadium,18-May-22
SSID0181,M007,TP0109,KL Rahul,40,26,153.84,3,CSK,Brabourne,31-Mar-22
SSID0182,M012,TP0109,KL Rahul,68,50,136,1,SRH,DY Patil Stadium,4-Apr-22
SSID0183,M062,TP0109,KL Rahul,10,19,52.63,1,RR,Brabourne,15-May-22
SSID0184,M031,TP0109,KL Rahul,30,24,125,1,RCB,DY Patil Stadium,19-Apr-22
SSID0185,M015,TP0109,KL Rahul,24,25,96,1,DC,DY Patil Stadium,7-Apr-22
SSID0186,M008,TP0156,Kagiso Rabada,25,16,156.25,1,KKR,Wankhede Stadium,1-Apr-22
SSID0187,M064,TP0156,Kagiso Rabada,6,2,300,1,DC,DY Patil Stadium,16-May-22
SSID0188,M021,TP0059,Kane Williamson,57,46,123.91,4,GT,DY Patil Stadium,11-Apr-22
SSID0189,M045,TP0059,Kane Williamson,47,37,127.02,2,CSK,Maharashtra Cricket Association Stadium,1-May-22
SSID0190,M012,TP0059,Kane Williamson,16,16,100,1,LSG,DY Patil Stadium,4-Apr-22
SSID0191,M017,TP0059,Kane Williamson,32,40,80,1,CSK,DY Patil Stadium,9-Apr-22
SSID0192,M014,TP0132,Kieron Pollard,22,5,440,3,KKR,Maharashtra Cricket Association Stadium,6-Apr-22
SSID0193,M026,TP0132,Kieron Pollard,25,14,178.57,2,LSG,Brabourne,16-Apr-22
